Name;RA;Dec;ra1;ra2;ra3;RA_dec;RA_radians;sde;de1;de2;de3;de_dec;Dec_radians;LongGal;LatGal;B;V;B-V;B0-V0;EB-V;Sp;Sp_s;Distance;Miles
HD 198001;20 47 40,55260;-09 29 44,7877;20;47;40.6;311.9189692;5.444013011;-;09;29;44.8;-9.495774361;-0.165732528;37.6806;-30.1049;3.783;3.77;0.013;0.02;-0.01;A1,5V;A1,5;152.9833057;
HD 198069;20 47 48,33256;+06 00 29,5472;20;47;48.3;311.9513857;5.444578786;+;06;00;29.5;6.008207556;0.104863004;52.7768;-22.4959;5.6;5.612;-0.012;-0.01;0.00;A0V;A0;159.3595395;
HD 198183;20 47 24,53766;+36 29 26,5737;20;47;24.5;311.8522403;5.442848372;+;36;29;26.6;36.49071492;0.636883122;78.0844;-4.3378;4.76;4.87;-0.11;-0.16;0.05;B5Ve;B5;145.891648;
HD 199081;20 53 14,75503;+44 23 14,1408;20;53;14.8;313.3114793;5.468316898;+;44;23;14.1;44.38726133;0.774703856;84.9035;-0.1935;4.649;4.778;-0.129;-0.16;0.03;B5V;B5;138.8692801;
HD 199095;20 42 35,23601;+82 31 52,1716;20;42;35.2;310.6468167;5.421809762;+;82;31;52.2;82.53115878;1.440440456;115.7301;23.4646;5.74;5.75;-0.01;-0.01;0.00;A0V;A0;105.0349483;
HD 199254;20 55 38,57202;+12 34 06,8099;20;55;38.6;313.9107168;5.478775565;+;12;34;06.8;12.56855831;0.219362725;59.7782;-20.416;5.65;5.54;0.11;0.12;-0.01;A4V;A4;157.2511023;
HD 199603;20 58 41,83965;-14 28 59,2569;20;58;41.8;314.6743319;5.492103163;-;14;28;59.3;-14.48312692;-0.252778251;33.6396;-34.6324;6.18;5.959;0.221;0.3;-0.08;A9V;A9;147.6691124;
HD 199629;20 57 10,41907;+41 10 01,6991;20;57;10.4;314.2934128;5.485454871;+;41;10;01.7;41.16713864;0.718502113;82.909;-2.8228;3.955;3.939;0.016;0.02;0.00;A1Vne;A1;141.0410246;
HD 19978 ;03 20 19,75768;+77 44 05,0744;03;20;19.8;50.08232367;0.874101445;+;77;44;05.1;77.73474289;1.356727207;130.6613;17.159;5.649;5.456;0.193;0.17;0.02;A6V;A6;91.9797161;
HD 199955;20 58 30,03385;+50 27 42,4409;20;58;30.0;314.625141;5.491244621;+;50;27;42.4;50.46178914;0.880724367;90.1114;3.0606;5.46;5.6;-0.14;-0.16;0.02;B5Vn;B5;133.3134382;
HD 200120;20 59 49,55716;+47 31 15,4216;20;59;49.6;314.9564882;5.497027719;+;47;31;15.4;47.52095044;0.829397049;88.0296;0.9707;4.69;4.74;-0.05;-0.26;0.21;B1,5Vnne;B1,5;135.6400029;
HD 200310;21 01 10,92841;+46 09 20,7816;21;01;10.9;315.295535;5.502945203;+;46;09;20.8;46.15577267;0.805570202;87.1548;-0.1028;5.217;5.417;-0.2;-0.26;0.06;B1Ve;B1;136.6194464;
HD 200499;21 04 24,30132;-19 51 17,9711;21;04;24.3;316.1012555;5.517007678;-;19;51;18.0;-19.85499197;-0.346534983;28.0509;-37.8602;5.018;4.856;0.162;0.15;0.01;A5V;A5;142.9287856;
HD 200761;21 05 56,82783;-17 13 58,3021;21;05;56.8;316.4867826;5.523736396;-;17;13;58.3;-17.23286169;-0.300770176;31.3127;-37.2884;4.089;4.073;0.016;0.02;0.00;A1V;A1;144.5190088;
HD 201184;21 08 33,62529;-21 11 37,2177;21;08;33.6;317.1401054;5.535139029;-;21;11;37.2;-21.19367158;-0.36989935;26.835;-39.2145;5.29;5.28;0.01;-0.01;0.02;A0V;A0;141.2888107;
HD 201433;21 08 38,88977;+30 12 20,2935;21;08;38.9;317.1620407;5.535521873;+;30;12;20.3;30.20563708;0.52718782;76.1077;-11.7743;5.611;5.687;-0.076;-0.07;-0.01;B9V;B9;147.1184678;
HD 20149 ;03 15 20,43681;+30 33 24,0795;03;15;20.4;48.83515338;0.852334217;+;30;33;24.1;30.55668875;0.533314827;156.2276;-22.8548;5.62;5.61;0.01;0.02;-0.01;A1Vs;A1;71.08750211;
